,Public Food Key,Classification,Food Name,Total calories(kcal),Protein,Total Fat,Total dietary fibre,Alcohol,Total sugars,Carbohydrates,Sodium (Na),Saturated fatty acids,Monounsaturated fatty acids,Polyunsaturated fatty acids,Trans fatty acids,Cholesterol,Categories,Food Description
1,F002258,31302,"Cardamom seed, dried, ground",241.87,10.80,6.70,28.00,0.00,4.40,34.40,18.00,34.34,43.94,21.72,0.00,0.00,Herbs(dried)  and spices ,"Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking"
2,F002893,31302,"Chilli (chili), dried, ground",239.48,13.40,14.30,34.80,0.00,7.20,14.90,2867.00,18.00,23.47,58.53,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground red pepper, characterised by a hot sensation when consumed as a spice."
3,F002963,31302,"Cinnamon, dried, ground",138.38,4.00,1.20,53.10,0.00,2.20,27.50,10.00,52.35,37.33,10.32,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice."
4,F002970,31302,"Cloves, dried, ground",267.21,6.00,13.00,33.90,0.00,2.40,31.60,277.00,44.15,15.56,40.45,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice."
5,F003190,31302,"Coriander seed, dried, ground",241.16,12.40,17.80,41.90,0.00,2.40,8.40,35.00,6.07,83.21,10.72,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground fruit or seed of Coriandrum sativum, used as a spice."
6,F003327,31302,"Cumin (cummin) seed, dried, ground",405.83,17.80,22.30,10.50,0.00,2.20,33.70,168.00,8.14,74.47,17.39,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground fruit or seeds of Cuminum cymimum, used as a spice."
7,F003337,31302,Curry powder,192.40,14.30,14.00,53.20,0.00,2.80,2.80,52.00,12.22,65.12,22.56,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric."
8,F003821,31302,"Fenugreek seed, dried",167.07,23.00,6.40,47.60,0.00,0.60,4.20,67.00,16.84,14.65,68.51,0.00,0.00,Herbs(dried)  and spices ,Dried fenugreek seeds used as a spice.
9,F004210,31302,"Ginger, dried, ground",306.88,9.00,4.20,14.10,0.00,3.40,57.50,27.00,64.86,11.95,23.18,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground rhizome of Zingiber officinale, used as a spice."
10,F005972,31302,Mustard powder,537.52,29.40,39.50,5.00,0.00,5.00,17.20,3.00,5.30,63.30,31.50,0.00,0.00,Herbs(dried)  and spices ,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods."
11,F006118,31302,"Nutmeg, dried, ground",459.85,5.80,36.30,20.80,0.00,3.00,28.50,16.00,87.90,10.91,1.19,0.00,0.00,Herbs(dried)  and spices ,"Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice."
12,F006281,31302,"Oregano, dried",180.69,9.00,4.30,42.50,0.00,4.10,26.40,25.00,42.66,19.69,37.65,0.00,0.00,Herbs(dried)  and spices ,"Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb."
13,F006316,31302,"Paprika, dry powder",246.41,14.10,12.90,34.90,0.00,10.30,19.10,68.00,18.45,14.61,66.95,0.00,0.00,Herbs(dried)  and spices ,Dried and ground fruit of red capsicums (sweet red peppers).
